Time_history,T_srp_1,T_srp_2,T_srp_3,F_srp_1,F_srp_2,F_srp_3,Euler_history_1,Euler_history_2,Euler_history_3,Sun_body_1,Sun_body_2,Sun_body_3
0,-7.47059389185966e-11,-4.94036450856849e-08,-4.92213625577624e-07,-4.07787595310255e-11,9.64776150376226e-07,-7.91446961578025e-08,0,0,0,-0.173841501252638,0.903529934810101,0.391679447181346
4.610415902042e-08,-7.47059389185966e-11,-4.9403645085685e-08,-4.92213625577624e-07,-4.07787595310255e-11,9.64776150376226e-07,-7.91446961578026e-08,-2.81957980154101e-21,-5.58646659652924e-18,8.89944161254218e-18,-0.173841501252637,0.9035299348101,0.391679447181346
1.3831247706126e-07,-7.47059389185966e-11,-4.94036450856851e-08,-4.92213625577623e-07,-4.07787595310254e-11,9.64776150376224e-07,-7.91446961578028e-08,-2.53762182138691e-20,-5.02781993688035e-17,8.00949745129502e-17,-0.173841501252637,0.9035299348101,0.391679447181348
3.2272911314294e-07,-7.47059389185967e-11,-4.94036450856853e-08,-4.92213625577622e-07,-4.07787595310254e-11,9.64776150376222e-07,-7.91446961578031e-08,-1.38159410275511e-19,-2.73736863230463e-16,4.36072639015495e-16,-0.173841501252635,0.903529934810099,0.391679447181351
6.915623853063e-07,-7.47059389185967e-11,-4.94036450856857e-08,-4.9221362557762e-07,-4.07787595310236e-11,9.64776150376217e-07,-7.91446961578038e-08,-6.34405455346764e-19,-1.25695498422431e-15,2.00237436283115e-15,-0.173841501252632,0.903529934810096,0.391679447181358
1.42922892963302e-06,-7.47059389185966e-11,-4.94036450856866e-08,-4.92213625577615e-07,-4.077875953102e-11,9.64776150376207e-07,-7.91446961578052e-08,-2.70961618928157e-18,-5.36859439931078e-15,8.5523633897339e-15,-0.173841501252626,0.903529934810092,0.391679447181371
2.90456201828646e-06,-7.47059389186099e-11,-4.94036450856883e-08,-4.92213625577605e-07,-4.07787595310145e-11,9.64776150376188e-07,-7.91446961578079e-08,-1.11909122323276e-17,-2.21726859220121e-14,3.53218837608586e-14,-0.173841501252613,0.903529934810083,0.391679447181398
5.85522819559334e-06,-7.47059389186099e-11,-4.94036450856917e-08,-4.92213625577585e-07,-4.07787595310035e-11,9.64776150376149e-07,-7.91446961578133e-08,-4.54770026192438e-17,-9.01041197385948e-14,1.43539093774253e-13,-0.173841501252586,0.903529934810064,0.391679447181452
1.17565605502071e-05,-7.47059389186231e-11,-4.94036450856984e-08,-4.92213625577546e-07,-4.07787595309763e-11,9.64776150376073e-07,-7.91446961578241e-08,-1.83343176598308e-16,-3.63259990465012e-13,5.78686190900561e-13,-0.173841501252529,0.903529934810029,0.39167944718156
2.35592252594346e-05,-7.47059389186496e-11,-4.94036450857113e-08,-4.92213625577472e-07,-4.07787595309162e-11,9.64776150375927e-07,-7.91446961578446e-08,-7.36251497407628e-16,-1.45874374435908e-12,2.32383109367074e-12,-0.173841501252396,0.90352993480996,0.391679447181778
4.71645546778896e-05,-7.47059389187157e-11,-4.94036450857351e-08,-4.92213625577334e-07,-4.07787595307633e-11,9.64776150375657e-07,-7.91446961578826e-08,-2.95077203091964e-15,-5.84639930245831e-12,9.31352373423783e-12,-0.173841501252059,0.903529934809833,0.39167944718222
9.43752135147997e-05,-7.47059389188215e-11,-4.94036450857745e-08,-4.92213625577106e-07,-4.07787595303284e-11,9.64776150375209e-07,-7.91446961579456e-08,-1.18146286733371e-14,-2.34084626242695e-11,3.72905203631292e-11,-0.173841501251106,0.903529934809622,0.391679447183131
0.00018879653118862,-7.47059389190332e-11,-4.94036450858214e-08,-4.92213625576831e-07,-4.07787595289473e-11,9.64776150374672e-07,-7.91446961580203e-08,-4.72816043849214e-14,-9.36795981252863e-11,1.49234959073135e-10,-0.173841501248077,0.903529934809368,0.391679447185059
0.00037763916653626,-7.47059389194566e-11,-4.94036450857868e-08,-4.92213625577019e-07,-4.07787595241393e-11,9.64776150375039e-07,-7.91446961579638e-08,-1.89172607518224e-13,-3.74809904836458e-10,5.9708561879161e-10,-0.173841501237525,0.903529934809541,0.391679447189344
0.000755324437231541,-7.47059389201979e-11,-4.94036450852042e-08,-4.92213625580335e-07,-4.07787595063325e-11,9.6477615038154e-07,-7.91446961570271e-08,-7.56782852680909e-13,-1.49942266333173e-09,2.38863407133855e-09,-0.173841501198451,0.903529934812602,0.391679447199625
0.0015106949786221,-7.47059389213116e-11,-4.94036450819847e-08,-4.92213625598738e-07,-4.07787594379573e-11,9.6477615041761e-07,-7.91446961518593e-08,-3.02731681149732e-12,-5.99805677850329e-09,9.55511954019516e-09,-0.173841501048416,0.90352993482959,0.391679447227029
0.00302143606140322,-7.47059389221552e-11,-4.940364506733e-08,-4.92213625682618e-07,-4.07787591701668e-11,9.64776150582021e-07,-7.91446961283462e-08,-1.21096468099016e-11,-2.39929595446602e-08,3.82216449834432e-08,-0.173841500460803,0.903529934907023,0.391679447309209
