Time_history,T_aero_1,T_aero_2,T_aero_3,F_aero_1,F_aero_2,F_aero_3,Cdrag_1,Cdrag_2,Cdrag_3,Cdrag_4,Cdrag_5,Cdrag_6,Cdrag_7,Cdrag_8,Cdrag_9,Cdrag_10,Cdrag_11,Cdrag_12,Cdrag_13,Cdrag_14,Cdrag_15,Cdrag_16,Cdrag_17,Cdrag_18,Cdrag_19,Cdrag_20,Cdrag_21,Cdrag_22,Cdrag_23,Cdrag_24,Cdrag_25,Cdrag_26,Cdrag_27,Cdrag_28,Cdrag_29,Cdrag_30,Cdrag_31,Cdrag_32,Cdrag_33,Cdrag_34,Cdrag_35,Clift_1,Clift_2,Clift_3,Clift_4,Clift_5,Clift_6,Clift_7,Clift_8,Clift_9,Clift_10,Clift_11,Clift_12,Clift_13,Clift_14,Clift_15,Clift_16,Clift_17,Clift_18,Clift_19,Clift_20,Clift_21,Clift_22,Clift_23,Clift_24,Clift_25,Clift_26,Clift_27,Clift_28,Clift_29,Clift_30,Clift_31,Clift_32,Clift_33,Clift_34,Clift_35
0,-3.88326635713026e-10,-4.35417338698825e-06,6.04579972002718e-06,1.31852229604111e-21,-1.18510760108055e-05,-8.53593938033195e-06,2.63472532310136e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265467022909e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.610415902042e-08,-3.88326635713026e-10,-4.35417338698795e-06,6.04579972002688e-06,6.01445992352312e-16,-1.18510760108055e-05,-8.53593938033195e-06,2.63472532310136e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265467022909e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3831247706126e-07,-3.88326635713025e-10,-4.35417338698735e-06,6.04579972002627e-06,1.80433532779758e-15,-1.18510760108055e-05,-8.53593938033194e-06,2.63472532310566e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265467022868e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2272911314294e-07,-3.88326635713025e-10,-4.35417338698614e-06,6.04579972002507e-06,4.21011394982904e-15,-1.18510760108055e-05,-8.53593938033194e-06,2.63472532310309e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265467022892e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.915623853063e-07,-3.88326635713025e-10,-4.35417338698374e-06,6.04579972002266e-06,9.0216709984557e-15,-1.18510760108054e-05,-8.53593938033194e-06,2.63472532311765e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3426546702275e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.42922892963302e-06,-3.88326635713024e-10,-4.35417338697892e-06,6.04579972001784e-06,1.8644784313964e-14,-1.18510760108054e-05,-8.53593938033192e-06,2.63472532313398e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265467022589e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.90456201828646e-06,-3.88326635713023e-10,-4.3541733869693e-06,6.04579972000821e-06,3.78910078180003e-14,-1.18510760108054e-05,-8.5359393803319e-06,2.6347253231606e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265467022327e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.85522819559334e-06,-3.88326635713179e-10,-4.35417338695004e-06,6.04579971998894e-06,7.63834423181521e-14,-1.18510760108053e-05,-8.53593938033184e-06,2.63472532322075e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265467021734e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.17565605502071e-05,-3.88326635713164e-10,-4.35417338691143e-06,6.04579971995024e-06,1.53368261286768e-13,-1.18510760108048e-05,-8.53593938033152e-06,2.63472532336598e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265467020306e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.35592252594346e-05,-3.88326635713154e-10,-4.35417338683441e-06,6.04579971987316e-06,3.07337699097271e-13,-1.18510760108044e-05,-8.5359393803313e-06,2.63472532361238e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265467017881e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
